relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Statistics & Mathematical Modelling/Modelling to infer the role of animals in gambiense human African trypanosomiasis transmission and elimination in the DRC.pdf	Modelling to infer the role of animals in gambiense human African trypanosomiasis transmission and elimination in the DRC.pdf	Statistics & Mathematical Modelling	pdf	1825009	2023-12-20	Paper	gHAT / HAT	DRC	modelling	Surveillance strategy	Elimination		PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Predicting the Impact of Intervention Strategies for Sleeping Sickness in Two High-Endemicity Health Zones of the Democratic Republic of Congo.pdf	Predicting the Impact of Intervention Strategies for Sleeping Sickness in Two High-Endemicity Health Zones of the Democratic Republic of Congo.pdf	Statistics & Mathematical Modelling	pdf	1941394	2023-12-04	Paper	gHAT / HAT	Republic of Congo	modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Quantifying epidemiological drivers of gambiense human African Trypanosomiasis across the Democratic Republic of Congo.pdf	Quantifying epidemiological drivers of gambiense human African Trypanosomiasis across the Democratic Republic of Congo.pdf	Statistics & Mathematical Modelling	pdf	2283067	2023-12-17	Paper	gHAT / HAT	Republic of Congo	modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Quantitative evaluation of the strategy to eliminate human African trypanosomiasis in the Democratic Republic of Congo.pdf	Quantitative evaluation of the strategy to eliminate human African trypanosomiasis in the Democratic Republic of Congo.pdf	Statistics & Mathematical Modelling	pdf	703015	2024-04-18	Paper	gHAT / HAT	Republic of Congo	modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Village-scale persistence and elimination of gHAT.pdf	Village-scale persistence and elimination of gHAT.pdf	Statistics & Mathematical Modelling	pdf	2689365	2023-11-13	Paper	gHAT / HAT		modelling	Surveillance strategy	Elimination		PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/antillon-et-al-2021-economic-evaluation-of-disease-elimination-an-extension-to-the-net-benefit-framework-and.pdf	antillon-et-al-2021-economic-evaluation-of-disease-elimination-an-extension-to-the-net-benefit-framework-and.pdf	Statistics & Mathematical Modelling	pdf	1850400	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy	Elimination		PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/ciab190.pdf	ciab190.pdf	Statistics & Mathematical Modelling	pdf	1840189	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/cost effectiveness drc.pdf	cost effectiveness drc.pdf	Statistics & Mathematical Modelling	pdf	1688440	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/davis-et-al-2021-modelling-gambiense-human-african-trypanosomiasis-infection-in-villages-of-the-democratic-republic-of.pdf	davis-et-al-2021-modelling-gambiense-human-african-trypanosomiasis-infection-in-villages-of-the-democratic-republic-of.pdf	Statistics & Mathematical Modelling	pdf	1194929	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/hidden hand asymptomatic.pdf	hidden hand asymptomatic.pdf	Statistics & Mathematical Modelling	pdf	2056492	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/journal.pcbi.1009367.pdf	journal.pcbi.1009367.pdf	Statistics & Mathematical Modelling	pdf	2361312	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/journal.pcbi.1011993.pdf	journal.pcbi.1011993.pdf	Statistics & Mathematical Modelling	pdf	3752574	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/journal.pntd.0010599.pdf	journal.pntd.0010599.pdf	Statistics & Mathematical Modelling	pdf	1825009	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/journal.pntd.0011299.pdf	journal.pntd.0011299.pdf	Statistics & Mathematical Modelling	pdf	3357601	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Warwick/journal.pntd.0011396.pdf	journal.pntd.0011396.pdf	Statistics & Mathematical Modelling	pdf	2322152	2025-11-14	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
