relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Epidemiology/Prevalence of Human African Trypanosomiasis in the Democratic Republic of the Congo.pdf	Prevalence of Human African Trypanosomiasis in the Democratic Republic of the Congo.pdf	Epidemiology	pdf	320503	2024-01-05	Paper	gHAT / HAT	DRC					PhD / sleeping-sickness			to_triage
Epidemiology/Representation spatiale des deplacements des malades dans un foyer de trypanosomose humaine africaine de Cote d'Ivoire..pdf	Representation spatiale des deplacements des malades dans un foyer de trypanosomose humaine africaine de Cote d'Ivoire..pdf	Epidemiology	pdf	559409	2024-04-08	Paper	gHAT / HAT	Cote dIvoire	spatial epidemiology				PhD / sleeping-sickness			to_triage
Epidemiology/Review of the Situation of Human African Trypanosomiasis in the Republic of Congo From the 1950s to 2020.pdf	Review of the Situation of Human African Trypanosomiasis in the Republic of Congo From the 1950s to 2020.pdf	Epidemiology	pdf	10491755	2024-01-30	Paper	gHAT / HAT	Republic of Congo					PhD / sleeping-sickness			to_triage
Epidemiology/Towards understanding the presenceabsence of Human African Trypanosomosis in a focus of Côte d'Ivoire a spatial analysis of the pathogenic system.pdf	Towards understanding the presenceabsence of Human African Trypanosomosis in a focus of Côte d'Ivoire a spatial analysis of the pathogenic system.pdf	Epidemiology	pdf	4239190	2024-04-08	Paper	gHAT / HAT	Cote dIvoire	spatial epidemiology				PhD / sleeping-sickness			to_triage
Integration/Human African Trypanosomiasis Diagnosis in First-Line Health Services of Endemic Countries, a Systematic Review.pdf	Human African Trypanosomiasis Diagnosis in First-Line Health Services of Endemic Countries, a Systematic Review.pdf	Integration	pdf	311118	2024-01-05	Paper	gHAT / HAT	Africa	implementation research	Passive / integrated			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Integration/Integration of Human African Trypanosomiasis Control Activities into PHS in DRC - a qualitative study.pdf	Integration of Human African Trypanosomiasis Control Activities into PHS in DRC - a qualitative study.pdf	Integration	pdf	234394	2023-12-18	Paper	gHAT / HAT	DRC	qualitative / implementation research	Passive / integrated			PhD / sleeping-sickness		High relevance to passive surveillance redesign	to_triage
Integration/Tropical Med Int Health - 2014 - Mitashi - Integration of diagnosis and treatment of sleeping sickness in primary.pdf	Tropical Med Int Health - 2014 - Mitashi - Integration of diagnosis and treatment of sleeping sickness in primary.pdf	Integration	pdf	175422	2024-01-05	Paper	gHAT / HAT		implementation research	Passive / integrated			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Methodology/Advances in spatial epidemiology and geographic information systems.pdf	Advances in spatial epidemiology and geographic information systems.pdf	Methodology	pdf	360643	2024-01-09	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness			to_triage
Methodology/An exploratory GIS-based method to identify and characterize landscape with elevated epi risk.pdf	An exploratory GIS-based method to identify and characterize landscape with elevated epi risk.pdf	Methodology	pdf	2324828	2023-12-04	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Methodology/Bayesian disease mapping - Past, present, and future.pdf	Bayesian disease mapping - Past, present, and future.pdf	Methodology	pdf	769479	2024-01-10	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Methodology/Characterising spatial patterns of neglected tropical disease transmission using integrated sero-surveillance.pdf	Characterising spatial patterns of neglected tropical disease transmission using integrated sero-surveillance.pdf	Methodology	pdf	1675516	2023-11-17	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness			to_triage
Methodology/Cluster analysis.pdf	Cluster analysis.pdf	Methodology	pdf	1259767	2023-11-29	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness			to_triage
Methodology/Determining target populations for leprosy prophylactic interventions - a hotspot analysis in Indonesia.pdf	Determining target populations for leprosy prophylactic interventions - a hotspot analysis in Indonesia.pdf	Methodology	pdf	1395138	2024-01-09	Paper	gHAT / HAT		methods reference				PhD / sleeping-sickness			to_triage
Methodology/Disease mapping and innovation -  A history from wood-block prints to Web 3.0.pdf	Disease mapping and innovation -  A history from wood-block prints to Web 3.0.pdf	Methodology	pdf	7479845	2023-12-18	Paper	gHAT / HAT		spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Methodology/Drivers of the dynamics of the spread of cholera in the DRC - an eco-epidemiological study.pdf	Drivers of the dynamics of the spread of cholera in the DRC - an eco-epidemiological study.pdf	Methodology	pdf	3713179	2023-12-18	Paper	gHAT / HAT	DRC	methods reference				PhD / sleeping-sickness			to_triage
